compound_name,cell_line,exp_date,plate_cv,z_prime_factor,rse,rel_ec50
5-FU,UP,20220926,13.558224445166253,0.8467452479973407,6.546158094336412,0.11088613615468522
SN38,UP,20220926,15.878976512015507,0.48173922727071383,9.89221890630341,0.0021188570874086233
3-BP,UP,20221031,12.815548397357746,0.8458532438872219,5.260444575021199,83.60978498784884
CTX,UP,20221031,9.66415485004997,0.7112543154635871,7.879135918981918,107.33533888172181
CTX,UP,20221128,19.806381411285027,0.43891866432155335,16.7332948812364,63.47497780529479
3-BP,UP,20221215,18.272427433643468,0.8774712035345309,30.243779747076942,104.8178509304936
CTX,UP,20221215,10.295048889785182,0.9046245370694725,10.537747709268674,20.03161436694012
3-BP,UP,20230731,13.335723007550948,0.6841974624354068,9.48695827450715,75.98195408279479
5-FU,UP,20230731,13.14337177945091,0.6988229696657041,4.2474801075296655,0.7767305941130729
SN38,UP,20230821,13.09430298420414,0.6414401261819207,6.718722749921984,0.0013262990854048726
5-FU,US,20220822,13.827942981346402,0.7113758138687345,11.986406369772228,1.4378118578526364
SN38,US,20220822,16.40512796035474,0.7271920128028138,13.775108722767005,0.004245774399741094
3-BP,US,20220912,43.50280984300469,0.060638137749299825,31.113251746846164,70.40909353833172
5-FU,US,20220912,17.750323656214256,0.5099830886754011,12.909195327331428,0.9850227659819797
SN38,US,20220912,17.434635212765645,0.2969989838112387,14.195864731477528,0.009677272927275899
3-BP,US,20221017,21.236723524022235,0.01136844484256172,6.722293047595154,2.143528007423617
3-BP,US,20221031,27.138130044411717,0.16679416166509198,16.970089702825614,111.04725416869994
CTX,US,20221031,26.01072132568478,0.5550715972057669,25.72286403960303,0.06886808808537627
3-BP,US,20230731,12.513241318606841,0.6341033288222481,8.242441824150207,101.84389025290221
CTX,US,20230731,11.572180360738225,0.5813565180322994,7.488559042293603,1.9277186126433328
3-BP,US,20230918,13.106506538323549,0.7046704880755652,14.008730582749315,120.23913498370453
3-BP CAF-CM,US,20230918,20.448619222279206,0.387006197402341,4.630554174336884,33.54241632851021
3-BP CAF-CM,US,20231016,26.668814649534852,0.6438735119973007,8.897087174728858,45.751003657071045
3-BP,US,20231016,29.524390957608777,0.5438331731641303,18.067571410289037,97.6842804016275
3-BP CAF-CM,US,20231023,14.512321695311067,0.5142174111354811,4.187595850147976,49.40349571467022
3-BP,US,20231023,25.09018242196431,0.7576724735575013,6.099928135759845,58.07838621301904
5-FU CAF-CM,US,20231127,21.622512165988944,-1.5182659462918666,70.56633334609886,0.10687397718688202
SN38 CAF-CM,US,20231127,41.55202100409448,-2.2813268054462963,90.3577572801702,0.8699504798170331
SN38 CAF-CM,US,20231204,13.614068439696641,0.7117307568394728,25.006791499029728,0.007718481027126173
5-FU CAF-CM,US,20231211,13.788597531097958,0.7513078502147572,6.919267531315076,0.03246059777998538
5-FU CAF-CM,US,20231211,24.034022360576497,0.5926539303599714,9.134390408010242,0.03797237180910218
SN38 CAF-CM,US,20231211,12.745741538011705,0.6807156479778167,10.018462495530736,0.00381281539265349
SN38 CAF-CM,US,20231211,13.929487601907336,0.6099135334286485,10.900180796752895,0.007594488222978808
SN38 CAF-CM,US,202401085,18.98555365013657,0.2434322867067652,14.85512997949579,0.0033785650252713645
SN38,UK,20220826,19.59386674739064,-0.21979044612205811,15.957550624418563,0.006309339523086554
SN38,UK,20220826,18.793050969650974,0.35661735326495647,14.870429927463686,0.004247938584443729
5-FU,US,20220826,23.013369818001106,0.15461659914211912,12.934609799239592,7.2592407804011465
5-FU,US,20220826,15.784463282109762,0.7113758138687345,12.09482975422295,1.4878807531764107
SN38,US,20220916,19.110901167751635,0.2976621293215663,15.910703712764056,0.009000313578228118
SN38,US,20220916,26.056989860725484,0.23474890018864325,22.780750263737232,0.011217116793772155
5-FU,UA,20220916,17.94618606263224,0.5099830886754011,12.909195327331428,0.9850227659819797
5-FU,UA,20220916,34.8447192417751,-5.404838480529864,25.3116136873375,0.013064975212060896
SN38,UK,20220923,36.722908341144276,-0.9042877677616401,21.21746390748405,0.001992501890280269
SN38,UK,20220923,29.09860975844383,-0.14131981428928486,26.572175464235478,0.0016027300125881858
5-FU,UK,20220923,29.80996091750518,0.2737460270118546,22.722290892230195,2.152558334836174
5-FU,UK,20220923,35.07187605355872,-0.18865804382272566,21.684391449163922,5.5125655658618244
SN38,UK,20220930,14.027641460133244,0.5684631636818512,8.04612929009452,0.006292403838150157
SN38,UK,20220930,17.271682990943134,0.6841774703586903,12.747728877087575,0.0019629614434010954
5-FU,UK,20220930,15.688959385091394,0.46780685446311865,7.808150990054681,5.208958150373665
5-FU,UK,20220930,18.52424031014195,0.48093159282305165,10.760096022637773,5.129977112447538
SN38,UP,20220930,16.864735767334974,0.48173922727071383,10.376095500381988,0.0019100528412395303
5-FU,UP,20220930,13.558224445166253,0.8467452479973407,6.546158094336412,0.11088613615468522
SN38,EICL_000V8,20221007,11.428490780092012,0.6804023925957158,6.9041139461654595,0.0027017348847411765
5-FU,EICL_000V8,20221007,16.72633471150949,0.6354496437366236,14.105782100831377,3.0174190393837854
5-FU CAF-CM,US,20231204,11.381981618263394,0.629008984840293,4.570212485428856,5.0066086840235345e-5
CTX,US,20220912,24.754263196187498,0.025654266725037456,NA,NA
untreated CAF-CM,US,20230918,20.448619222279206,0.387006197402341,NA,NA
STA CAF-CM,US,20230918,20.448619222279206,0.387006197402341,NA,NA
untreated CAF-CM,US,20231016,26.668814649534852,0.6438735119973007,NA,NA
STA CAF-CM,US,20231016,26.668814649534852,0.6438735119973007,NA,NA
untreated CAF-CM,US,20231023,14.512321695311067,0.5142174111354811,NA,NA
STA CAF-CM,US,20231023,14.512321695311067,0.5142174111354811,NA,NA
STA CAF-CM,US,20231127,21.622512165988944,-1.5182659462918666,NA,NA
untreated CAF-CM,US,20231127,21.622512165988944,-1.5182659462918666,NA,NA
STA CAF-CM,US,20231127,41.55202100409448,-2.2813268054462963,NA,NA
untreated CAF-CM,US,20231127,41.55202100409448,-2.2813268054462963,NA,NA
STA CAF-CM,US,20231204,11.381981618263394,0.629008984840293,NA,NA
untreated CAF-CM,US,20231204,11.381981618263394,0.629008984840293,NA,NA
5-FU CAF-CM,US,20231204,11.381981618263394,0.629008984840293,NA,NA
STA CAF-CM,US,20231204,13.614068439696641,0.7117307568394728,NA,NA
untreated CAF-CM,US,20231204,13.614068439696641,0.7117307568394728,NA,NA
STA CAF-CM,US,20231211,13.788597531097958,0.7513078502147572,NA,NA
untreated CAF-CM,US,20231211,13.788597531097958,0.7513078502147572,NA,NA
STA CAF-CM,US,20231211,24.034022360576497,0.5926539303599714,NA,NA
untreated CAF-CM,US,20231211,24.034022360576497,0.5926539303599714,NA,NA
STA CAF-CM,US,20231211,12.745741538011705,0.6807156479778167,NA,NA
untreated CAF-CM,US,20231211,12.745741538011705,0.6807156479778167,NA,NA
STA CAF-CM,US,20231211,13.929487601907336,0.6099135334286485,NA,NA
untreated CAF-CM,US,20231211,13.929487601907336,0.6099135334286485,NA,NA
STA CAF-CM,US,202401085,18.98555365013657,0.2434322867067652,NA,NA
untreated CAF-CM,US,202401085,18.98555365013657,0.2434322867067652,NA,NA
5-FU,US,20221028,38.68129641444262,NA,NA,NA
SN38,US,20221028,38.68129641444262,NA,NA,NA
5-FU,US,20221104,18.638743987617417,NA,NA,NA
SN38,US,20221104,18.638743987617417,NA,NA,NA
5-FU,US,20221104,21.283349016130963,NA,NA,NA
SN38,US,20221104,21.283349016130963,NA,NA,NA
5-FU,UP,20221104,12.07556260763032,NA,NA,NA
SN38,UP,20221104,12.07556260763032,NA,NA,NA
5-FU,UK,20221118,15.341093421596858,NA,NA,NA
SN38,UK,20221118,15.341093421596858,NA,NA,NA
5-FU,UP,20221118,12.298331089333752,NA,NA,NA
SN38,UP,20221118,12.298331089333752,NA,NA,NA
5-FU,UK,20221209,17.70772583944936,NA,NA,NA
SN38,UK,20221209,17.70772583944936,NA,NA,NA
5-FU,UP,20221209,14.561345736769827,NA,NA,NA
SN38,UP,20221209,14.561345736769827,NA,NA,NA
5-FU,UK,20221216,18.939439612679454,NA,NA,NA
SN38,UK,20221216,18.939439612679454,NA,NA,NA
5-FU,UP,20221216,8.593311265281633,NA,NA,NA
SN38,UP,20221216,8.593311265281633,NA,NA,NA
5-FU,US,20230113,14.126814050159513,NA,NA,NA
SN38,US,20230113,14.126814050159513,NA,NA,NA
5-FU,US,20230127,25.826463827057932,NA,NA,NA
SN38,US,20230127,25.826463827057932,NA,NA,NA
5-FU,US,20230203,12.366485512569998,NA,NA,NA
SN38,US,20230203,12.366485512569998,NA,NA,NA
5FU (Media changed on Day -2),US,20230210,16.051246033289445,NA,NA,NA
SN38 (Media changed on Day -2),US,20230210,16.051246033289445,NA,NA,NA
SN38,US,20230210,16.051246033289445,NA,NA,NA
5-FU,US,20230210,16.051246033289445,NA,NA,NA
5-FU,UP,20230421,8.049395351146424,NA,NA,NA
SN38,UP,20230421,8.049395351146424,NA,NA,NA
5-FU,US,20230428,10.718153024196901,NA,NA,NA
SN38,US,20230428,10.718153024196901,NA,NA,NA
